"","from_id","to_id","travel_time_p50"
"635","12499","2",23
"636","12499","3",25
"637","12500","1",16
"638","12500","2",23
"639","12500","3",25
"640","12516","1",21
"641","12516","2",23
"642","12516","3",25
"643","12517","1",21
"644","12517","2",22
"645","12517","3",24
"646","12519","1",21
"647","12519","2",22
"648","12519","3",24
"649","12520","1",22
"650","12520","2",23
"651","12520","3",25
"652","12712","1",13
"653","12712","2",21
"654","12712","3",23
"655","12713","1",14
"656","12713","2",22
"657","12713","3",24
"658","12721","1",16
"659","12721","2",23
"660","12721","3",25
"661","12722","1",15
"662","12722","2",22
"663","12722","3",24
"664","12724","1",16
"665","12724","2",24
"666","12724","3",26
"667","12725","1",17
"668","12725","2",24
"669","12725","3",26
"670","12726","1",17
"671","12726","2",24
"672","12726","3",26
"673","12738","1",23
"674","12738","2",25
"675","12738","3",27
"676","12739","1",21
"677","12739","2",22
"678","12739","3",24
"679","12741","1",20
"680","12741","2",21
"681","12741","3",23
"682","12742","1",21
"683","12742","2",22
"684","12742","3",24
"685","12744","1",21
"686","12744","2",23
"687","12744","3",25
"688","12946","1",15
"689","12946","2",22
"690","12946","3",24
"691","12949","1",18
"692","12949","2",25
"693","12949","3",27
"694","12950","1",17
"695","12950","2",24
"696","12950","3",26
"697","12951","1",18
"698","12951","2",25
"699","12951","3",27
"700","12961","1",24
"701","12961","2",26
"702","12961","3",28
"703","12963","1",21
"704","12963","2",22
"705","12963","3",24
"706","12964","1",22
"707","12964","2",23
"708","12964","3",25
"709","12965","1",20
"710","12965","2",21
"711","12965","3",23
"712","13080","1",39
"713","13080","2",38
"714","13080","3",39
"715","13093","1",39
"716","13093","2",38
"717","13093","3",39
"718","13161","1",13
"719","13161","2",20
"720","13161","3",22
"721","13175","1",18
"722","13175","2",25
"723","13175","3",27
"724","13176","1",17
"725","13176","2",24
"726","13176","3",26
"727","13187","1",21
"728","13187","2",22
"729","13187","3",24
"730","13189","1",20
"731","13189","2",21
"732","13189","3",23
"733","13191","1",22
"734","13191","2",23
"735","13191","3",25
"736","13192","1",21
"737","13192","2",23
"738","13192","3",25
"739","13399","1",20
"740","13399","2",27
"741","13399","3",29
"742","13401","1",18
"743","13401","2",25
"744","13401","3",28
"745","13409","1",22
"746","13409","2",23
"747","13409","3",25
"748","13412","1",21
"749","13412","2",22
"750","13412","3",25
"751","13413","1",20
"752","13413","2",22
"753","13413","3",24
"754","13415","1",19
"755","13415","2",20
"756","13415","3",23
"757","13417","1",22
"758","13417","2",23
"759","13417","3",25
"760","13418","1",22
"761","13418","2",23
"762","13418","3",25
"763","13419","1",23
"764","13419","2",24
"765","13419","3",26
"766","13548","1",39
"767","13548","2",38
"768","13548","3",39
"769","13613","1",14
"770","13613","2",21
"771","13613","3",23
"772","13634","1",21
"773","13634","2",23
"774","13634","3",25
"775","13635","1",21
"776","13635","2",22
"777","13635","3",24
"778","13638","1",21
"779","13638","2",22
"780","13638","3",24
"781","13639","1",21
"782","13639","2",22
"783","13639","3",24
"784","13640","1",20
"785","13640","2",21
"786","13640","3",23
"787","13641","1",19
"788","13641","2",20
"789","13641","3",22
"790","13642","1",23
"791","13642","2",24
"792","13642","3",26
"793","13643","1",22
"794","13643","2",23
"795","13643","3",25
"796","13644","1",23
"797","13644","2",24
"798","13644","3",26
"799","13645","1",23
"800","13645","2",24
"801","13645","3",26
"802","13775","1",38
"803","13775","2",37
"804","13775","3",38
"805","13843","1",14
"806","13843","2",20
"807","13843","3",22
"808","13863","1",21
"809","13863","2",22
"810","13863","3",24
"811","13864","1",21
"812","13864","2",22
"813","13864","3",24
"814","13865","1",20
"815","13865","2",22
"816","13865","3",24
"817","13866","1",20
"818","13866","2",22
"819","13866","3",24
"820","13867","1",20
